529	acharistum, acharisti  N (2nd) N
530	acharistos, acharistos, -  ADJ
531	-, -, achariston  ADJ
532	achariter  ADV
533	acharna, acharnae  N (1st) F
534	acharne, acharnes  N F
535	achates, achatae  N C
536	acheta, achetae  N (1st) M
537	achetas, achetae  N M
538	Achillas, Achillae  N M
539	achilleos, achillei  N F
540	Achilles, Achillis  N M
541	Achilleus, Achilleis  N M
542	achlis, achlis  N (3rd) F
543	achor, achoris  N (3rd) M
544	achras, achradis  N (3rd) F
545	achynops, achynopis  N (3rd) M
546	acia, aciae  N (1st) F
547	acies, aciei  N (5th) F
548	acicula, aciculae  N (1st) F
549	acidum, acidi  N (2nd) N
550	acidus, acida -um, acidior -or -us, acidissimus -a -um  ADJ
551	acidatas, acidatatis  N (3rd) F
552	acide, acidius, acidissime  ADV
553	aciditas, aciditatis  N (3rd) F
554	acidulus, acidula, acidulum  ADJ
555	acina, acinae  N (1st) F
556	acinus, acini  N (2nd) M
557	acinum, acini  N (2nd) N
558	acinos, acini  N F
559	acinaces, acinacis  N (3rd) M
560	acinarius, acinaria, acinarium  ADJ
561	acinaticius, acinaticia, acinaticium  ADJ
562	acinosus, acinosa, acinosum  ADJ
563	acipenser, acipenseris  N (3rd) M
564	acipensis, acipensis  N (3rd) M
565	aciscularius, acisculari(i)  N (2nd) M
566	acistarium, acistarii  N (2nd) N
567	acisulus, acisuli  N (2nd) M
568	aclassis, aclassis  N (3rd) F
569	aclouthia, aclouthiae  N (1st) F
570	aclys, aclydis  N (3rd) F
571	acna, acnae  N (1st) F
572	acnua, acnuae  N (1st) F
573	acoenonetus, acoenoneta, acoenonetum  ADJ
574	acoenonoetus, acoenonoeta, acoenonoetum  ADJ
575	acoetis, acoetis  N (3rd) F
576	acolitus, acoliti  N (2nd) M
577	acoluthus, acoluthi  N (2nd) M
578	acolytus, acolyti  N (2nd) M
579	acolythus, acolythi  N (2nd) M
580	acona, aconae  N (1st) F
581	aconitum, aconiti  N (2nd) N
582	aconiton, aconiti  N N
583	aconiti  ADV
584	acontias, acontiae  N M
585	acontizo, acontizare, acontizavi, acontizatus  V (1st)
586	acopum, acopi  N (2nd) N
587	acopos, acopi  N F
588	acorus, acori  N (2nd) F
589	acorum, acori  N (2nd) N
590	acoros, acori  N F
591	acoron, acori  N N
592	acor, acoris  N (3rd) M
593	acorion, acorii  N N
594	acorna, acornae  N (1st) F
595	acosmos, acosmos, -  ADJ
596	-, -, acosmon  ADJ
597	acquiesco, acquiescere, acquiei, acquietus  V (3rd) INTRANS
598	acquiesco, acquiescere, acquievi, acquietus  V (3rd) INTRANS
599	acquiro, acquirere, acquisivi, acquisitus  V (3rd) TRANS
600	acquisitus, acquisita, acquisitum  ADJ
