British		6990	ADJ	C	1	15	65
British		17389	N	E	1	0	30
Briton		6991	N	D	1	15	55
Briton		6992	N	F	1	15	35
Briton		9784	N	E	3	0	24
Britons		6988	N	B	1	15	75
Britons		8439	N	C	1	0	50
Britons		39086	N	D	1	0	40
Brutus		7019	N	C	1	15	65
Bryonia		7030	N	E	2	0	27
Bryonia		7031	N	E	2	0	27
Bryony		8817	N	N	1	15	30
Buckthorn		2434	N	E	1	0	30
Bucolic		7085	N	N	2	0	12
Bugella		7098	N	F	1	15	35
Bul		7105	N	E	1	15	45
Buttuti		7195	INTERJ	F	1	15	35
Buttuti		7196	INTERJ	F	1	15	35
By		22090	INTERJ	D	1	0	40
By		26687	INTERJ	D	1	0	40
Byzantium		7217	N	C	1	15	65
CD		18044	N	C	8	10	39
CD		18080	N	E	1	0	30
Cacus		7227	N	C	1	15	65
Caecus		3926	N	C	3	0	44
Caesar		2435	N	D	2	0	37
Caesar		2945	N	C	1	0	50
Caesar		3789	N	D	1	0	40
Caesar		5494	N	C	1	0	50
Caesar		6342	N	D	1	0	40
Caesar		6691	N	D	1	0	40
Caesar		6786	N	D	1	0	40
Caesar		7412	N	B	1	15	75
Caesar		7414	ADJ	F	2	0	17
Caesar		7658	N	D	1	0	40
Caesar		8322	N	C	1	0	50
Caesar		8439	N	C	1	0	50
Caesar		9727	N	C	1	0	50
Caesar		18354	N	D	2	0	37
Caesar		18571	N	C	1	0	50
Caesar		18670	N	D	1	0	40
Caesar		21344	N	D	1	0	40
Caesar		21413	N	D	1	0	40
Caesar		21879	N	D	1	0	40
Caesar		25506	N	D	1	0	40
Caesar		25757	N	D	1	0	40
Caesar		28934	N	D	1	0	40
Caesar		29646	N	D	4	0	31
Caesar		29647	ADJ	D	2	0	37
Caesar		34610	N	C	4	0	41
Caesar		34611	ADJ	C	4	0	41
Caesar		34876	N	D	1	0	40
Caesar		34877	N	D	1	0	40
Caesar		34878	ADJ	D	1	0	40
Caesar		35015	N	D	1	0	40
